01,38,51,31,33,80,46,00,00,00
02,44,21,63,27,46,00,00,00,00
03,26,43,64,26,15,32,42,00,00
04,36,76,25,49,13,65,00,00,00
05,55,19,66,60,00,00,00,00,00
06,18,14,26,42,68,40,71,00,00
07,48,15,33,32,42,70,00,00,00
08,53,25,75,00,00,00,00,00,00
09,35,45,48,20,00,00,00,00,00
10,17,16,43,45,35,00,00,00,00
11,54,14,26,43,16,00,00,00,00
12,24,62,23,21,49,25,00,00,00
13,65,56,72,49,04,00,00,00,00
14,06,26,11,54,81,67,78,18,00
15,07,48,20,03,32,00,00,00,00
16,77,10,43,11,41,54,00,00,00
17,59,10,22,00,00,00,00,00,00
18,06,78,37,19,71,00,00,00,00
19,37,57,55,05,66,71,18,00,00
20,48,09,45,64,03,15,00,00,00
21,12,23,44,02,63,47,72,49,00
22,17,59,39,00,00,00,00,00,00
23,44,24,62,12,21,00,00,00,00
24,28,29,69,58,44,62,25,00,00
25,08,75,36,04,49,12,24,69,53
26,06,14,11,43,03,42,00,00,00
27,79,31,80,46,02,63,00,00,00
28,52,58,24,29,61,00,00,00,00
29,28,61,69,24,00,00,00,00,00
30,65,73,00,00,00,00,00,00,00
31,01,80,27,79,00,00,00,00,00
32,03,42,07,15,00,00,00,00,00
33,01,51,42,70,07,00,00,00,00
34,59,41,00,00,00,00,00,00,00
35,09,45,10,00,00,00,00,00,00
36,75,25,04,76,00,00,00,00,00
37,74,78,57,19,18,00,00,00,00
38,66,58,46,01,51,50,00,00,00
39,22,59,00,00,00,00,00,00,00
40,06,50,66,71,68,00,00,00,00
41,77,16,54,34,00,00,00,00,00
42,06,68,51,33,70,07,32,03,26
43,10,16,11,26,03,64,45,00,00
44,02,46,58,24,23,21,00,00,00
45,35,09,20,64,43,10,00,00,00
46,38,58,44,02,27,80,01,00,00
47,63,21,72,56,73,00,00,00,00
48,07,15,20,09,00,00,00,00,00
49,13,72,21,12,25,04,00,00,00
50,66,40,68,51,38,00,00,00,00
51,42,33,01,38,50,68,00,00,00
52,55,60,58,28,00,00,00,00,00
53,61,69,25,08,00,00,00,00,00
54,41,16,11,14,81,00,00,00,00
55,57,19,05,60,52,00,00,00,00
56,72,13,65,73,47,00,00,00,00
57,37,19,55,00,00,00,00,00,00
58,60,52,28,24,44,46,38,66,00
59,17,22,39,34,00,00,00,00,00
60,05,52,55,58,66,00,00,00,00
61,28,29,69,53,00,00,00,00,00
62,24,12,23,00,00,00,00,00,00
63,27,02,21,47,00,00,00,00,00
64,20,45,43,03,00,00,00,00,00
65,04,13,56,73,30,00,00,00,00
66,58,60,05,19,71,40,50,38,00
67,81,14,78,74,00,00,00,00,00
68,06,50,42,51,40,00,00,00,00
69,24,29,61,53,25,00,00,00,00
70,42,07,33,00,00,00,00,00,00
71,06,40,66,19,18,00,00,00,00
72,47,21,49,13,56,00,00,00,00
73,47,56,65,30,00,00,00,00,00
74,67,78,37,00,00,00,00,00,00
75,36,25,08,00,00,00,00,00,00
76,36,04,00,00,00,00,00,00,00
77,16,41,00,00,00,00,00,00,00
78,67,74,37,18,06,14,00,00,00
79,31,27,00,00,00,00,00,00,00
80,31,27,01,46,00,00,00,00,00
81,54,67,14,00,00,00,00,00,00
